1. Samochd: Acura CL, sprzedano: 1 szt., gdzie średnia cena to: 82961.35 Euro.
277. Samochd: Kia Spectra, sprzedano: 2 szt., gdzie średnia cena to: 51367.19 Euro.
278. Samochd: Kia Sportage, sprzedano: 1 szt., gdzie średnia cena to: 62965.49 Euro.
279. Samochd: Lamborghini Countach, sprzedano: 1 szt., gdzie średnia cena to: 62789.57 Euro.
280. Samochd: Lamborghini Diablo, sprzedano: 3 szt., gdzie średnia cena to: 84469.78 Euro.
281. Samochd: Lamborghini Gallardo, sprzedano: 3 szt., gdzie średnia cena to: 69162.65 Euro.
282. Samochd: Land Rover Discovery, sprzedano: 2 szt., gdzie średnia cena to: 60949.33 Euro.
283. Samochd: Land Rover Discovery Series II, sprzedano: 1 szt., gdzie średnia cena to: 72459.38 Euro.
284. Samochd: Land Rover Freelander, sprzedano: 1 szt., gdzie średnia cena to: 66450.69 Euro.
285. Samochd: Land Rover LR3, sprzedano: 1 szt., gdzie średnia cena to: 55622.30 Euro.
286. Samochd: Land Rover Range Rover, sprzedano: 5 szt., gdzie średnia cena to: 37295.49 Euro.
287. Samochd: Land Rover Range Rover Sport, sprzedano: 2 szt., gdzie średnia cena to: 54214.94 Euro.
288. Samochd: Lexus ES, sprzedano: 1 szt., gdzie średnia cena to: 75323.10 Euro.
289. Samochd: Lexus GS, sprzedano: 1 szt., gdzie średnia cena to: 68162.34 Euro.
290. Samochd: Lexus IS, sprzedano: 2 szt., gdzie średnia cena to: 36857.76 Euro.
291. Samochd: Lexus IS F, sprzedano: 2 szt., gdzie średnia cena to: 40066.54 Euro.
292. Samochd: Lexus IS-F, sprzedano: 1 szt., gdzie średnia cena to: 20327.75 Euro.
293. Samochd: Lexus LS, sprzedano: 2 szt., gdzie średnia cena to: 59232.04 Euro.
294. Samochd: Lexus LX, sprzedano: 1 szt., gdzie średnia cena to: 61266.53 Euro.
295. Samochd: Lexus SC, sprzedano: 2 szt., gdzie średnia cena to: 56543.13 Euro.
296. Samochd: Lincoln Blackwood, sprzedano: 1 szt., gdzie średnia cena to: 31306.78 Euro.
297. Samochd: Lincoln Continental, sprzedano: 1 szt., gdzie średnia cena to: 66092.79 Euro.
298. Samochd: Lincoln MKT, sprzedano: 2 szt., gdzie średnia cena to: 33481.78 Euro.
299. Samochd: Lincoln Mark VIII, sprzedano: 1 szt., gdzie średnia cena to: 53874.79 Euro.
300. Samochd: Lincoln Navigator, sprzedano: 3 szt., gdzie średnia cena to: 35401.09 Euro.
301. Samochd: Lincoln Navigator L, sprzedano: 1 szt., gdzie średnia cena to: 48521.65 Euro.
302. Samochd: Lincoln Town Car, sprzedano: 2 szt., gdzie średnia cena to: 85584.71 Euro.
303. Samochd: Lotus Elise, sprzedano: 1 szt., gdzie średnia cena to: 21021.05 Euro.
304. Samochd: Lotus Esprit, sprzedano: 4 szt., gdzie średnia cena to: 29091.35 Euro.
305. Samochd: Lotus Exige, sprzedano: 1 szt., gdzie średnia cena to: 25498.46 Euro.
306. Samochd: MINI Clubman, sprzedano: 1 szt., gdzie średnia cena to: 16641.30 Euro.
307. Samochd: MINI Cooper, sprzedano: 1 szt., gdzie średnia cena to: 1568.56 Euro.
308. Samochd: Maserati Biturbo, sprzedano: 1 szt., gdzie średnia cena to: 64426.98 Euro.
309. Samochd: Maserati Coupe, sprzedano: 1 szt., gdzie średnia cena to: 2453.93 Euro.
310. Samochd: Maserati GranTurismo, sprzedano: 1 szt., gdzie średnia cena to: 9968.08 Euro.
311. Samochd: Maserati Quattroporte, sprzedano: 1 szt., gdzie średnia cena to: 83431.20 Euro.
312. Samochd: Maybach 57, sprzedano: 5 szt., gdzie średnia cena to: 38236.61 Euro.
313. Samochd: Maybach 62, sprzedano: 1 szt., gdzie średnia cena to: 92208.52 Euro.
314. Samochd: Mazda 626, sprzedano: 3 szt., gdzie średnia cena to: 44541.57 Euro.
315. Samochd: Mazda B-Series Plus, sprzedano: 4 szt., gdzie średnia cena to: 74289.14 Euro.
316. Samochd: Mazda B2000, sprzedano: 1 szt., gdzie średnia cena to: 69924.62 Euro.
317. Samochd: Mazda CX-5, sprzedano: 1 szt., gdzie średnia cena to: 56757.95 Euro.
318. Samochd: Mazda CX-7, sprzedano: 4 szt., gdzie średnia cena to: 57379.68 Euro.
319. Samochd: Mazda CX-9, sprzedano: 1 szt., gdzie średnia cena to: 19705.91 Euro.
320. Samochd: Mazda Familia, sprzedano: 2 szt., gdzie średnia cena to: 77000.45 Euro.
321. Samochd: Mazda MPV, sprzedano: 2 szt., gdzie średnia cena to: 74117.86 Euro.
322. Samochd: Mazda MX-3, sprzedano: 1 szt., gdzie średnia cena to: 40200.92 Euro.
323. Samochd: Mazda MX-5, sprzedano: 4 szt., gdzie średnia cena to: 27450.91 Euro.
324. Samochd: Mazda MX-6, sprzedano: 1 szt., gdzie średnia cena to: 56681.54 Euro.
325. Samochd: Mazda Mazda2, sprzedano: 1 szt., gdzie średnia cena to: 77296.02 Euro.
326. Samochd: Mazda Mazdaspeed 3, sprzedano: 2 szt., gdzie średnia cena to: 67873.92 Euro.
327. Samochd: Mazda Miata MX-5, sprzedano: 1 szt., gdzie średnia cena to: 34512.20 Euro.
328. Samochd: Mazda Millenia, sprzedano: 2 szt., gdzie średnia cena to: 30280.26 Euro.
329. Samochd: Mazda RX-7, sprzedano: 2 szt., gdzie średnia cena to: 57805.22 Euro.
330. Samochd: Mazda RX-8, sprzedano: 1 szt., gdzie średnia cena to: 62387.06 Euro.
331. Samochd: Mazda Tribute, sprzedano: 1 szt., gdzie średnia cena to: 8031.83 Euro.
332. Samochd: Mercedes-Benz 300D, sprzedano: 1 szt., gdzie średnia cena to: 17810.02 Euro.
333. Samochd: Mercedes-Benz 300E, sprzedano: 1 szt., gdzie średnia cena to: 69282.52 Euro.
334. Samochd: Mercedes-Benz 300TE, sprzedano: 1 szt., gdzie średnia cena to: 58487.99 Euro.
335. Samochd: Mercedes-Benz C-Class, sprzedano: 4 szt., gdzie średnia cena to: 47498.64 Euro.
336. Samochd: Mercedes-Benz CL-Class, sprzedano: 1 szt., gdzie średnia cena to: 77944.64 Euro.
337. Samochd: Mercedes-Benz CL65 AMG, sprzedano: 1 szt., gdzie średnia cena to: 59195.01 Euro.
338. Samochd: Mercedes-Benz CLK-Class, sprzedano: 1 szt., gdzie średnia cena to: 93260.59 Euro.
339. Samochd: Mercedes-Benz CLS-Class, sprzedano: 1 szt., gdzie średnia cena to: 3183.57 Euro.
340. Samochd: Mercedes-Benz E-Class, sprzedano: 7 szt., gdzie średnia cena to: 44487.30 Euro.
341. Samochd: Mercedes-Benz G-Class, sprzedano: 2 szt., gdzie średnia cena to: 60823.89 Euro.
342. Samochd: Mercedes-Benz M-Class, sprzedano: 2 szt., gdzie średnia cena to: 87429.69 Euro.
343. Samochd: Mercedes-Benz R-Class, sprzedano: 3 szt., gdzie średnia cena to: 43385.52 Euro.
344. Samochd: Mercedes-Benz S-Class, sprzedano: 3 szt., gdzie średnia cena to: 58820.15 Euro.
345. Samochd: Mercedes-Benz SL-Class, sprzedano: 7 szt., gdzie średnia cena to: 46809.55 Euro.
346. Samochd: Mercedes-Benz SL65 AMG, sprzedano: 1 szt., gdzie średnia cena to: 12734.28 Euro.
347. Samochd: Mercedes-Benz SLK-Class, sprzedano: 5 szt., gdzie średnia cena to: 58529.92 Euro.
348. Samochd: Mercedes-Benz SLR McLaren, sprzedano: 1 szt., gdzie średnia cena to: 98123.27 Euro.
349. Samochd: Mercedes-Benz SLS AMG, sprzedano: 2 szt., gdzie średnia cena to: 42979.41 Euro.
350. Samochd: Mercedes-Benz W123, sprzedano: 1 szt., gdzie średnia cena to: 44748.84 Euro.
351. Samochd: Mercedes-Benz W201, sprzedano: 2 szt., gdzie średnia cena to: 89769.70 Euro.
352. Samochd: Mercury Capri, sprzedano: 1 szt., gdzie średnia cena to: 8438.45 Euro.
353. Samochd: Mercury Cougar, sprzedano: 5 szt., gdzie średnia cena to: 59532.13 Euro.
354. Samochd: Mercury Grand Marquis, sprzedano: 7 szt., gdzie średnia cena to: 47096.44 Euro.
355. Samochd: Mercury Lynx, sprzedano: 2 szt., gdzie średnia cena to: 75668.95 Euro.
356. Samochd: Mercury Mariner, sprzedano: 3 szt., gdzie średnia cena to: 43659.08 Euro.
357. Samochd: Mercury Milan, sprzedano: 1 szt., gdzie średnia cena to: 63884.95 Euro.
358. Samochd: Mercury Mountaineer, sprzedano: 3 szt., gdzie średnia cena to: 35728.23 Euro.
359. Samochd: Mercury Mystique, sprzedano: 1 szt., gdzie średnia cena to: 94727.98 Euro.
360. Samochd: Mercury Sable, sprzedano: 3 szt., gdzie średnia cena to: 53139.95 Euro.
361. Samochd: Mercury Topaz, sprzedano: 3 szt., gdzie średnia cena to: 53162.23 Euro.
362. Samochd: Mercury Tracer, sprzedano: 2 szt., gdzie średnia cena to: 28478.94 Euro.
363. Samochd: Mercury Villager, sprzedano: 3 szt., gdzie średnia cena to: 38697.31 Euro.
364. Samochd: Mitsubishi 3000GT, sprzedano: 1 szt., gdzie średnia cena to: 69929.29 Euro.
365. Samochd: Mitsubishi Challenger, sprzedano: 1 szt., gdzie średnia cena to: 24182.93 Euro.
366. Samochd: Mitsubishi Eclipse, sprzedano: 3 szt., gdzie średnia cena to: 53152.92 Euro.
367. Samochd: Mitsubishi Endeavor, sprzedano: 4 szt., gdzie średnia cena to: 46103.38 Euro.
368. Samochd: Mitsubishi Expo, sprzedano: 1 szt., gdzie średnia cena to: 44918.65 Euro.
369. Samochd: Mitsubishi GTO, sprzedano: 3 szt., gdzie średnia cena to: 47675.27 Euro.
370. Samochd: Mitsubishi Lancer, sprzedano: 2 szt., gdzie średnia cena to: 36868.81 Euro.
371. Samochd: Mitsubishi Lancer Evolution, sprzedano: 2 szt., gdzie średnia cena to: 47783.49 Euro.
372. Samochd: Mitsubishi Mirage, sprzedano: 5 szt., gdzie średnia cena to: 57542.27 Euro.
373. Samochd: Mitsubishi Montero, sprzedano: 3 szt., gdzie średnia cena to: 17600.19 Euro.
374. Samochd: Mitsubishi Montero Sport, sprzedano: 1 szt., gdzie średnia cena to: 10997.24 Euro.
375. Samochd: Mitsubishi Outlander, sprzedano: 1 szt., gdzie średnia cena to: 20062.34 Euro.
376. Samochd: Mitsubishi Pajero, sprzedano: 5 szt., gdzie średnia cena to: 67780.11 Euro.
377. Samochd: Mitsubishi Raider, sprzedano: 3 szt., gdzie średnia cena to: 39151.00 Euro.
378. Samochd: Mitsubishi Starion, sprzedano: 3 szt., gdzie średnia cena to: 73250.49 Euro.
379. Samochd: Mitsubishi Truck, sprzedano: 4 szt., gdzie średnia cena to: 33591.64 Euro.
380. Samochd: Morgan Aero 8, sprzedano: 2 szt., gdzie średnia cena to: 48364.87 Euro.
381. Samochd: Nissan 200SX, sprzedano: 1 szt., gdzie średnia cena to: 41834.99 Euro.
382. Samochd: Nissan 300ZX, sprzedano: 2 szt., gdzie średnia cena to: 48537.54 Euro.
383. Samochd: Nissan 350Z, sprzedano: 1 szt., gdzie średnia cena to: 39853.04 Euro.
384. Samochd: Nissan Altima, sprzedano: 7 szt., gdzie średnia cena to: 55895.73 Euro.
385. Samochd: Nissan Armada, sprzedano: 1 szt., gdzie średnia cena to: 89173.53 Euro.
386. Samochd: Nissan Cube, sprzedano: 1 szt., gdzie średnia cena to: 53525.58 Euro.
387. Samochd: Nissan Datsun/Nissan Z-samochod, sprzedano: 2 szt., gdzie średnia cena to: 76735.67 Euro.
388. Samochd: Nissan Frontier, sprzedano: 1 szt., gdzie średnia cena to: 20489.68 Euro.
389. Samochd: Nissan GT-R, sprzedano: 1 szt., gdzie średnia cena to: 3222.64 Euro.
390. Samochd: Nissan Maxima, sprzedano: 2 szt., gdzie średnia cena to: 52140.06 Euro.
391. Samochd: Nissan Pathfinder, sprzedano: 5 szt., gdzie średnia cena to: 60357.93 Euro.
392. Samochd: Nissan Pathfinder Armada, sprzedano: 1 szt., gdzie średnia cena to: 96775.20 Euro.
393. Samochd: Nissan Quest, sprzedano: 3 szt., gdzie średnia cena to: 19223.04 Euro.
394. Samochd: Nissan Rogue, sprzedano: 1 szt., gdzie średnia cena to: 45315.63 Euro.
395. Samochd: Nissan Sentra, sprzedano: 4 szt., gdzie średnia cena to: 45330.47 Euro.
396. Samochd: Nissan Titan, sprzedano: 2 szt., gdzie średnia cena to: 29811.37 Euro.
397. Samochd: Nissan Versa, sprzedano: 1 szt., gdzie średnia cena to: 91895.71 Euro.
398. Samochd: Nissan Xterra, sprzedano: 2 szt., gdzie średnia cena to: 45446.22 Euro.
399. Samochd: Oldsmobile Achieva, sprzedano: 2 szt., gdzie średnia cena to: 27909.39 Euro.
400. Samochd: Oldsmobile Alero, sprzedano: 1 szt., gdzie średnia cena to: 19600.82 Euro.
401. Samochd: Oldsmobile Bravada, sprzedano: 1 szt., gdzie średnia cena to: 99984.84 Euro.
402. Samochd: Oldsmobile Cutlass Supreme, sprzedano: 2 szt., gdzie średnia cena to: 65983.23 Euro.
403. Samochd: Oldsmobile Intrigue, sprzedano: 3 szt., gdzie średnia cena to: 41002.69 Euro.
404. Samochd: Oldsmobile Silhouette, sprzedano: 3 szt., gdzie średnia cena to: 28639.54 Euro.
405. Samochd: Panoz Esperante, sprzedano: 1 szt., gdzie średnia cena to: 53455.19 Euro.
406. Samochd: Plymouth Colt, sprzedano: 1 szt., gdzie średnia cena to: 57417.48 Euro.
407. Samochd: Plymouth Colt Vista, sprzedano: 1 szt., gdzie średnia cena to: 53245.72 Euro.
408. Samochd: Plymouth Grand Voyager, sprzedano: 1 szt., gdzie średnia cena to: 12759.28 Euro.
409. Samochd: Plymouth Volare, sprzedano: 1 szt., gdzie średnia cena to: 88917.51 Euro.
410. Samochd: Plymouth Voyager, sprzedano: 3 szt., gdzie średnia cena to: 76413.54 Euro.
411. Samochd: Pontiac 1000, sprzedano: 1 szt., gdzie średnia cena to: 84056.46 Euro.
412. Samochd: Pontiac 6000, sprzedano: 1 szt., gdzie średnia cena to: 5256.21 Euro.
413. Samochd: Pontiac Bonneville, sprzedano: 3 szt., gdzie średnia cena to: 52898.22 Euro.
414. Samochd: Pontiac Daewoo Kalos, sprzedano: 1 szt., gdzie średnia cena to: 87202.11 Euro.
415. Samochd: Pontiac Fiero, sprzedano: 1 szt., gdzie średnia cena to: 8202.10 Euro.
416. Samochd: Pontiac Firebird, sprzedano: 1 szt., gdzie średnia cena to: 98532.02 Euro.
417. Samochd: Pontiac G5, sprzedano: 1 szt., gdzie średnia cena to: 453.87 Euro.
418. Samochd: Pontiac G6, sprzedano: 3 szt., gdzie średnia cena to: 58288.47 Euro.
419. Samochd: Pontiac G8, sprzedano: 2 szt., gdzie średnia cena to: 22416.36 Euro.
420. Samochd: Pontiac GTO, sprzedano: 1 szt., gdzie średnia cena to: 86303.79 Euro.
421. Samochd: Pontiac Grand Am, sprzedano: 1 szt., gdzie średnia cena to: 31178.86 Euro.
422. Samochd: Pontiac Grand Prix, sprzedano: 7 szt., gdzie średnia cena to: 52396.50 Euro.
423. Samochd: Pontiac LeMans, sprzedano: 5 szt., gdzie średnia cena to: 76709.61 Euro.
424. Samochd: Pontiac Montana, sprzedano: 1 szt., gdzie średnia cena to: 49063.18 Euro.
425. Samochd: Pontiac Solstice, sprzedano: 1 szt., gdzie średnia cena to: 20647.67 Euro.
426. Samochd: Pontiac Sunbird, sprzedano: 3 szt., gdzie średnia cena to: 69493.46 Euro.
427. Samochd: Pontiac Trans Sport, sprzedano: 1 szt., gdzie średnia cena to: 305.73 Euro.
428. Samochd: Pontiac Vibe, sprzedano: 2 szt., gdzie średnia cena to: 45140.29 Euro.
429. Samochd: Porsche 911, sprzedano: 7 szt., gdzie średnia cena to: 55710.80 Euro.
430. Samochd: Porsche 924 S, sprzedano: 1 szt., gdzie średnia cena to: 96664.65 Euro.
431. Samochd: Porsche Boxster, sprzedano: 2 szt., gdzie średnia cena to: 56475.42 Euro.
432. Samochd: Porsche Cayenne, sprzedano: 2 szt., gdzie średnia cena to: 61091.16 Euro.
433. Samochd: Ram 2500, sprzedano: 1 szt., gdzie średnia cena to: 49301.29 Euro.
434. Samochd: Ram Dakota, sprzedano: 1 szt., gdzie średnia cena to: 30072.66 Euro.
435. Samochd: Rolls-Royce Phantom, sprzedano: 2 szt., gdzie średnia cena to: 74614.54 Euro.
436. Samochd: Saab 9-3, sprzedano: 1 szt., gdzie średnia cena to: 35561.43 Euro.
437. Samochd: Saab 9-5, sprzedano: 4 szt., gdzie średnia cena to: 56350.28 Euro.
438. Samochd: Saab 9-7X, sprzedano: 3 szt., gdzie średnia cena to: 52846.43 Euro.
439. Samochd: Saab 900, sprzedano: 2 szt., gdzie średnia cena to: 49071.87 Euro.
440. Samochd: Saab 9000, sprzedano: 3 szt., gdzie średnia cena to: 54097.90 Euro.
441. Samochd: Saturn Relay, sprzedano: 1 szt., gdzie średnia cena to: 47066.72 Euro.
442. Samochd: Saturn S-Series, sprzedano: 2 szt., gdzie średnia cena to: 9017.03 Euro.
443. Samochd: Saturn VUE, sprzedano: 1 szt., gdzie średnia cena to: 26812.74 Euro.
444. Samochd: Scion xD, sprzedano: 1 szt., gdzie średnia cena to: 40805.33 Euro.
445. Samochd: Spyker C8 Double 12 S, sprzedano: 1 szt., gdzie średnia cena to: 96561.56 Euro.
446. Samochd: Subaru Forester, sprzedano: 3 szt., gdzie średnia cena to: 81288.87 Euro.
447. Samochd: Subaru Justy, sprzedano: 3 szt., gdzie średnia cena to: 45364.84 Euro.
448. Samochd: Subaru Legacy, sprzedano: 3 szt., gdzie średnia cena to: 64798.95 Euro.
449. Samochd: Subaru Leone, sprzedano: 1 szt., gdzie średnia cena to: 61810.51 Euro.
450. Samochd: Subaru Loyale, sprzedano: 1 szt., gdzie średnia cena to: 43850.02 Euro.
451. Samochd: Subaru Outback, sprzedano: 2 szt., gdzie średnia cena to: 55051.50 Euro.
452. Samochd: Subaru SVX, sprzedano: 1 szt., gdzie średnia cena to: 96360.87 Euro.
453. Samochd: Subaru Tribeca, sprzedano: 1 szt., gdzie średnia cena to: 51935.34 Euro.
454. Samochd: Suzuki Grand Vitara, sprzedano: 1 szt., gdzie średnia cena to: 46821.21 Euro.
455. Samochd: Suzuki Kizashi, sprzedano: 1 szt., gdzie średnia cena to: 49388.37 Euro.
456. Samochd: Suzuki SJ 410, sprzedano: 1 szt., gdzie średnia cena to: 47819.20 Euro.
457. Samochd: Suzuki SX4, sprzedano: 1 szt., gdzie średnia cena to: 22436.09 Euro.
458. Samochd: Suzuki Sidekick, sprzedano: 1 szt., gdzie średnia cena to: 69918.56 Euro.
459. Samochd: Suzuki Swift, sprzedano: 2 szt., gdzie średnia cena to: 53303.03 Euro.
460. Samochd: Suzuki Verona, sprzedano: 1 szt., gdzie średnia cena to: 48857.49 Euro.
461. Samochd: Tesla Roadster, sprzedano: 1 szt., gdzie średnia cena to: 7056.76 Euro.
462. Samochd: Toyota 4Runner, sprzedano: 4 szt., gdzie średnia cena to: 63457.53 Euro.
463. Samochd: Toyota Avalon, sprzedano: 2 szt., gdzie średnia cena to: 65967.62 Euro.
464. Samochd: Toyota Camry, sprzedano: 3 szt., gdzie średnia cena to: 79146.73 Euro.
465. Samochd: Toyota Celica, sprzedano: 2 szt., gdzie średnia cena to: 57965.43 Euro.
466. Samochd: Toyota Corolla, sprzedano: 3 szt., gdzie średnia cena to: 79216.34 Euro.
467. Samochd: Toyota Echo, sprzedano: 1 szt., gdzie średnia cena to: 57053.25 Euro.
468. Samochd: Toyota FJ Cruiser, sprzedano: 1 szt., gdzie średnia cena to: 42841.55 Euro.
469. Samochd: Toyota Highlander, sprzedano: 2 szt., gdzie średnia cena to: 75387.39 Euro.
470. Samochd: Toyota Ipsum, sprzedano: 1 szt., gdzie średnia cena to: 41036.16 Euro.
471. Samochd: Toyota Land Cruiser, sprzedano: 5 szt., gdzie średnia cena to: 60095.49 Euro.
472. Samochd: Toyota MR2, sprzedano: 1 szt., gdzie średnia cena to: 46421.38 Euro.
473. Samochd: Toyota Matrix, sprzedano: 1 szt., gdzie średnia cena to: 66666.84 Euro.
474. Samochd: Toyota Previa, sprzedano: 1 szt., gdzie średnia cena to: 75874.85 Euro.
475. Samochd: Toyota Prius, sprzedano: 2 szt., gdzie średnia cena to: 74990.25 Euro.
476. Samochd: Toyota RAV4, sprzedano: 2 szt., gdzie średnia cena to: 23849.33 Euro.
477. Samochd: Toyota Sequoia, sprzedano: 3 szt., gdzie średnia cena to: 20976.79 Euro.
478. Samochd: Toyota Sienna, sprzedano: 1 szt., gdzie średnia cena to: 68263.57 Euro.
479. Samochd: Toyota Solara, sprzedano: 1 szt., gdzie średnia cena to: 76247.84 Euro.
480. Samochd: Toyota Supra, sprzedano: 1 szt., gdzie średnia cena to: 8892.98 Euro.
481. Samochd: Toyota T100, sprzedano: 2 szt., gdzie średnia cena to: 69955.21 Euro.
482. Samochd: Toyota T100 Xtra, sprzedano: 1 szt., gdzie średnia cena to: 83465.10 Euro.
483. Samochd: Toyota Tacoma, sprzedano: 2 szt., gdzie średnia cena to: 46107.43 Euro.
484. Samochd: Toyota Tacoma Xtra, sprzedano: 3 szt., gdzie średnia cena to: 21831.86 Euro.
485. Samochd: Toyota Tercel, sprzedano: 1 szt., gdzie średnia cena to: 16793.13 Euro.
486. Samochd: Toyota Tundra, sprzedano: 2 szt., gdzie średnia cena to: 32866.82 Euro.
487. Samochd: Toyota TundraMax, sprzedano: 1 szt., gdzie średnia cena to: 21198.48 Euro.
488. Samochd: Toyota Yaris, sprzedano: 1 szt., gdzie średnia cena to: 95943.63 Euro.
489. Samochd: Volkswagen Cabriolet, sprzedano: 5 szt., gdzie średnia cena to: 27471.45 Euro.
490. Samochd: Volkswagen Fox, sprzedano: 1 szt., gdzie średnia cena to: 77660.74 Euro.
491. Samochd: Volkswagen GLI, sprzedano: 1 szt., gdzie średnia cena to: 82687.12 Euro.
492. Samochd: Volkswagen GTI, sprzedano: 6 szt., gdzie średnia cena to: 45189.68 Euro.
493. Samochd: Volkswagen Golf, sprzedano: 5 szt., gdzie średnia cena to: 49141.57 Euro.
494. Samochd: Volkswagen Jetta, sprzedano: 5 szt., gdzie średnia cena to: 63644.82 Euro.
495. Samochd: Volkswagen New Beetle, sprzedano: 2 szt., gdzie średnia cena to: 31785.83 Euro.
496. Samochd: Volkswagen Passat, sprzedano: 2 szt., gdzie średnia cena to: 51683.94 Euro.
497. Samochd: Volkswagen Phaeton, sprzedano: 1 szt., gdzie średnia cena to: 12833.78 Euro.
498. Samochd: Volkswagen Quantum, sprzedano: 1 szt., gdzie średnia cena to: 87150.11 Euro.
499. Samochd: Volkswagen Rabbit, sprzedano: 2 szt., gdzie średnia cena to: 31841.94 Euro.
500. Samochd: Volkswagen Tiguan, sprzedano: 1 szt., gdzie średnia cena to: 15415.59 Euro.
501. Samochd: Volkswagen Touareg, sprzedano: 1 szt., gdzie średnia cena to: 22049.47 Euro.
502. Samochd: Volkswagen Type 2, sprzedano: 1 szt., gdzie średnia cena to: 42551.68 Euro.
503. Samochd: Volkswagen rio, sprzedano: 2 szt., gdzie średnia cena to: 29444.06 Euro.
504. Samochd: Volvo 850, sprzedano: 2 szt., gdzie średnia cena to: 57499.64 Euro.
505. Samochd: Volvo C30, sprzedano: 1 szt., gdzie średnia cena to: 48525.09 Euro.
506. Samochd: Volvo C70, sprzedano: 1 szt., gdzie średnia cena to: 28721.16 Euro.
507. Samochd: Volvo S40, sprzedano: 2 szt., gdzie średnia cena to: 8727.31 Euro.
508. Samochd: Volvo S60, sprzedano: 1 szt., gdzie średnia cena to: 3041.86 Euro.
509. Samochd: Volvo S80, sprzedano: 3 szt., gdzie średnia cena to: 62328.06 Euro.
510. Samochd: Volvo V50, sprzedano: 1 szt., gdzie średnia cena to: 95214.12 Euro.
511. Samochd: Volvo V70, sprzedano: 2 szt., gdzie średnia cena to: 41084.16 Euro.
512. Samochd: Volvo XC70, sprzedano: 2 szt., gdzie średnia cena to: 62194.10 Euro.
513. Samochd: Volvo XC90, sprzedano: 3 szt., gdzie średnia cena to: 62013.01 Euro.
